Player,Real,Predicted,Position,Payroll Salary,Team,OPS Per Millionth Dollar
Travis d'Arnaud,0.7605999999999999,0.80357647,C,8000000,Atlanta Braves,0.10044705875
Trea Turner,0.5233333333333333,0.78666914,SS,13000000,Washington Nationals,0.06051301076923076
Trevor Story,0.6409999999999999,0.7875248,SS,18500000,Colorado Rockies,0.04256890810810811
Trey Mancini,0.675,0.7769191,DH,4750000,Baltimore Orioles,0.16356191578947368
Tucker Barnhart,0.5876666666666667,0.7798439,C,4187500,Cincinnati Reds,0.18623137910447762
Victor Caratini,0.7363333333333334,0.81924593,C,1300000,San Diego Padres,0.630189176923077
Wil Myers,0.662,0.7954533,LF,22500000,San Diego Padres,0.03535348
Will Smith,0.6563333333333333,0.7892526999999999,RP/CL,13000000,Atlanta Braves,0.06071174615384614
Willie Calhoun,0.785,0.7905014,DH,593000,Texas Rangers,1.3330546374367622
Willson Contreras,0.5479999999999999,0.8152338000000001,C,6650000,Chicago Cubs,0.12259154887218048
Wilmer Flores,0.6946666666666669,0.7928927,2B,3000000,San Francisco Giants,0.26429756666666665
Yadier Molina,0.6609999999999999,0.8034549,C,9000000,St. Louis Cardinals,0.08927276666666666
Yan Gomes,0.7929999999999999,0.8273130999999999,C,6000000,Washington Nationals,0.13788551666666665
Yasmani Grandal,0.5670000000000001,0.7944452,C,18250000,Chicago White Sox,0.043531243835616434
Yonathan Daza,0.5425,0.7800687,RF,572500,Colorado Rockies,1.3625654148471615
