Player,Real,Predicted
Mike Zunino,0.6803333333333335,0.79540354
Mikie Mahtook,0.708,0.7860595
Mitch Garver,0.828,0.8456731
Mitch Haniger,0.6005,0.78579426
Mitch Moreland,0.7045,0.8101299
Mitch Walding,0.807,0.85761803
Monte Harrison,0.893,0.843293
Mookie Betts,0.6003333333333334,0.7872326
Myles Straw,0.6837499999999999,0.8176277
Nathaniel Lowe,0.6306666666666667,0.77669626
Neil Walker,0.7315,0.80068433
Nelson Cruz,0.6637500000000001,0.8017117
Nick Ahmed,0.6946666666666667,0.8025205
Nick Castellanos,0.78375,0.8217528
Nick Ciuffo,0.884,0.85378337
Nick Dini,1.067,0.85704607
Nick Gordon,0.77,0.78283453
Nick Heath,0.39,0.77934223
Nick Hundley,0.8320000000000001,0.8064585
Nick Madrigal,0.4955,0.76415575
Nick Markakis,0.8335,0.85555255
Nick Martini,0.5606666666666668,0.75066346
Nick Maton,0.693,0.78992593
Nick Senzel,0.8153333333333332,0.8082354
Nick Solak,0.8166666666666668,0.82154214
Nick Williams,0.6675,0.78778213
Nicky Delmonico,0.43750000000000006,0.7841145
Nicky Lopez,0.5013333333333333,0.7845764
Nico Hoerner,0.703,0.79922605
Niko Goodrum,0.6183333333333333,0.7856641
Nolan Arenado,0.6346666666666666,0.7816703
Nolan Fontana,0.45399999999999996,0.75914085
Nomar Mazara,0.5586666666666666,0.7760926
Odubel Herrera,0.74,0.838398
Omar Narvaez,0.6153333333333334,0.7917645
Orlando Arcia,0.60475,0.7602922
Oscar Hernandez,0.618,0.7832131
Oscar Mercado,0.702,0.8297229
Owen Miller,0.63,0.7995335
Ozzie Albies,0.5973333333333334,0.7960481
P.J. Higgins,0.885,0.8540484
Pablo Reyes,0.5579999999999999,0.75352836
Pablo Sandoval,0.67425,0.8049251
Pat Valaika,0.7949999999999999,0.8329656
Patrick Kivlehan,0.5955,0.77727807
Patrick Mazeika,0.5710000000000001,0.7691047
Patrick Wisdom,0.7230000000000001,0.77049553
Paul DeJong,0.8290000000000001,0.7886573
Paul Goldschmidt,0.765,0.819881
Pavin Smith,0.8134999999999999,0.83108854
Pedro Severino,0.5713333333333334,0.75485164
Pete Alonso,0.6373333333333334,0.78927195
Peter Bourjos,0.45399999999999996,0.7539808
Peter O'Brien,0.708,0.7511683
Phil Gosselin,0.6066666666666666,0.7888282
Phillip Ervin,0.7540000000000001,0.8135866
Phillip Evans,0.6085,0.7653927
Rafael Devers,0.7069999999999999,0.79928523
Rafael Marchan,0.5780000000000001,0.73921907
Rafael Ortega,0.6095,0.79340184
Raimel Tapia,0.6466666666666666,0.80219716
Rajai Davis,0.266,0.7770554
Ramon Laureano,0.8343333333333334,0.8059632
Ramon Urias,0.7270000000000001,0.82348955
Randal Grichuk,0.6920000000000001,0.8257513
Randy Arozarena,0.616,0.7817053
Rangel Ravelo,0.3225,0.7705205
Raudy Read,0.8109999999999999,0.84455264
Reese McGuire,0.5426666666666666,0.7493277
Renato Nunez,0.8023333333333333,0.831776
Rene Rivera,0.75125,0.8208631
Rhys Hoskins,0.646,0.80309
Richard Urena,0.701,0.7957667
Richie Martin,0.245,0.748218
Riley Adams,0.599,0.7942028
Rio Ruiz,0.609,0.77535754
Rob Brantly,0.887,0.85233074
Rob Refsnyder,0.6034999999999999,0.8033488
Robbie Grossman,0.624,0.7778749
Robel Garcia,0.4285,0.74658704
Roberto Perez,0.7443333333333334,0.8216917
Robinson Cano,0.788,0.7979392
Robinson Chirinos,0.7045,0.80620366
Rocky Gale,0.787,0.8039198
Rodolfo Castro,0.511,0.7876727
Roman Quinn,0.628,0.79953873
